run_dir,job_id,composition,temperature_K,recombination_rate_defects_per_ps,crowdion_fraction,dumbbell_fraction,median_cluster_size_atoms,crowdion_mean_v111_Aps,dumbbell_mean_v111_Aps,crowdion_mean_net_displacement_A,dumbbell_mean_net_displacement_A,dumbbell_mean_tortuosity,turn_rate_dumbbell_per_ps,RRI_phys,RRI_ml
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3690631/analysis_production_eigen_greedy1/run_4,3690631,V-17Cr-7Ti,300,-5.065272913168051,0.0022232121941029156,0.9977767878058971,2.0,30.84777246427573,4.1688517875370374,0.5412345080617589,3.8015866795854505,6.496973203324261,0.8513323533514877,0.12120483674020813,1.1440496191793743
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3693620/analysis_production_eigen_greedy1/run_0,3693620,V-17Cr-7Ti,873,-33.84930784543138,0.02129545360869801,0.978704546391302,2.0,60.292115205337225,26.397791681043312,2.3259660616818345,5.117051375195988,2.525297665370305,0.8790249245739531,-0.05072963357961378,-0.40459586929527025
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3693620/analysis_production_eigen_greedy1/run_1,3693620,V-17Cr-7Ti,873,-18.130473841624283,0.009653180299189662,0.9903468197008103,2.0,51.0281244687137,11.799622404790007,1.6567147982284023,4.426348281559992,4.016420799551152,0.6418112547121025,-0.19414559563230185,0.7593253579279735
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3693620/analysis_production_eigen_greedy1/run_2,3693620,V-17Cr-7Ti,873,-25.245877812971536,0.011334169479975334,0.9886658305200247,2.0,39.04713649007331,12.947793303353292,1.4580856729826677,4.020086019335275,4.0729896291635965,0.5299542990919035,0.003927175786098204,-0.44938720468553733
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3693620/analysis_production_eigen_greedy1/run_3,3693620,V-17Cr-7Ti,873,-35.81855568464897,0.014050064229291486,0.9859499357707087,2.0,44.15230428259591,19.526013070153216,1.6099294504514026,4.776825196007472,2.586573447245766,0.7244876766833326,0.22792735811302378,-1.7050113238993017
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3693620/analysis_production_eigen_greedy1/run_4,3693620,V-17Cr-7Ti,873,-10.090341684312666,0.008283454755298621,0.9917165452447014,2.0,21.63418511116525,9.797092884201493,0.7258911905560604,3.2650514321883777,3.4004376022692155,0.23113000496320416,-0.5583620415769822,0.6950921921603678
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3681716/analysis_production_eigen_greedy1/run_0,3681716,V-1_2Ti,873,-17.688241946778955,0.005342500198441634,0.9946574998015583,2.0,25.764145361188937,8.46108259972762,1.2582324468858823,3.5242194200938286,5.334309663612858,0.31297155277770106,-0.023832173893857847,-0.2319623637119166
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3681716/analysis_production_eigen_greedy1/run_1,3681716,V-1_2Ti,873,-28.462038486573952,0.022789274139893893,0.9772107258601062,2.0,66.1871829978802,30.807391851186235,2.5180464482814107,5.516337208298073,2.456045777670535,0.944937845066032,-0.28411733816126766,0.5002808105634566
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3681716/analysis_production_eigen_greedy1/run_2,3681716,V-1_2Ti,873,-38.512618477537764,0.014372231183527606,0.9856277688164723,2.0,65.10359311484885,19.839204228577014,2.4368768351934804,4.8738093795108455,3.636722852853881,0.7960401379851186,0.32419378052227077,-1.0076313878909071
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3681716/analysis_production_eigen_greedy1/run_3,3681716,V-1_2Ti,873,-30.99499579864535,0.015621273052526181,0.9843787269474737,2.0,58.334252258116074,20.438231655994294,1.8788005926515106,5.357761468760289,2.8977542345460727,0.797054134658216,-0.009353722896591674,-0.4978090999740362
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3681716/analysis_production_eigen_greedy1/run_4,3681716,V-1_2Ti,873,-13.547736162378591,0.01516387507793493,0.9848361249220651,2.0,59.24071083798351,19.724391693953653,1.7888310410903447,4.99621847462825,2.8048721741955753,0.6925540311235145,-0.6530789906860596,1.8189084816413246
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3685519/analysis_production_eigen_greedy1/run_0,3685519,V-1_2Ti,300,-19.939453646854798,0.0036553555377389427,0.996344644462261,2.0,23.749944686361708,5.410820591980394,0.6333443871963836,3.8778215132425213,7.4358998598057715,0.3929147641989443,0.34171219572288386,-0.7650768019866185
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3685519/analysis_production_eigen_greedy1/run_1,3685519,V-1_2Ti,300,-23.55785752599165,0.006260965191249365,0.9937390348087507,2.0,42.73125837779666,9.05677728952086,1.5170936181890082,3.811343920871974,5.470635176046008,0.46361928094322263,0.1562405551032755,-0.240080804973591
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3685519/analysis_production_eigen_greedy1/run_2,3685519,V-1_2Ti,300,-4.6230574629577115,0.004393773808373256,0.9956062261916268,2.0,30.083896852239953,6.2404917926065675,1.057460334046329,3.6115808889262957,7.924249625807346,0.44024094776142464,-0.1355165711432574,1.5649389735343453
